gameid,teamname,result
ESPORTSTMNT02_2575831,Team BDS,0
ESPORTSTMNT02_2575865,LOUD,1
ESPORTSTMNT02_2575865,INTZ,0
ESPORTSTMNT02_2575868,Astralis,0
ESPORTSTMNT02_2575868,Team Vitality,1
ESPORTSTMNT02_2575902,KaBuM! Esports,1
ESPORTSTMNT02_2575902,Liberty,0
ESPORTSTMNT02_2575912,GiantX,1
ESPORTSTMNT02_2575912,Fnatic,0
ESPORTSTMNT02_2575922,Los Grandes,0
ESPORTSTMNT02_2575922,paiN Gaming,1
ESPORTSTMNT02_2575935,G2 Esports,0
ESPORTSTMNT02_2575935,Rogue,1
ESPORTSTMNT02_2575958,Evil Geniuses,1
ESPORTSTMNT02_2575958,TSM,0
ESPORTSTMNT02_2575995,NRG Kia,0
ESPORTSTMNT02_2575995,FlyQuest,1
ESPORTSTMNT02_2576032,Team Liquid,0
ESPORTSTMNT02_2576032,100 Thieves,1
ESPORTSTMNT02_2576065,Golden Guardians,0
ESPORTSTMNT02_2576065,Cloud9,1
ESPORTSTMNT02_2576077,Dignitas,1
ESPORTSTMNT02_2576077,Immortals,0
ESPORTSTMNT02_2556220,KaBuM! Esports,1
ESPORTSTMNT02_2556220,LOUD,0
ESPORTSTMNT02_2556267,RED Canids,0
ESPORTSTMNT02_2556267,FURIA,1
ESPORTSTMNT02_2556322,paiN Gaming,0
ESPORTSTMNT02_2556322,INTZ,1
ESPORTSTMNT02_2576404,100 Thieves,1
ESPORTSTMNT02_2576404,NRG Kia,0
ESPORTSTMNT02_2556364,Liberty,1
ESPORTSTMNT02_2556364,Miners,0
ESPORTSTMNT02_2576516,TSM,0
ESPORTSTMNT02_2576516,Dignitas,1
ESPORTSTMNT02_2576552,Cloud9,1
ESPORTSTMNT02_2576552,Evil Geniuses,0
ESPORTSTMNT02_2576568,FlyQuest,1
ESPORTSTMNT02_2576568,Golden Guardians,0
ESPORTSTMNT02_2576579,Immortals,0
ESPORTSTMNT02_2576579,Team Liquid,1
ESPORTSTMNT02_2577665,T1,0
ESPORTSTMNT02_2577665,Hanwha Life Esports,1
ESPORTSTMNT02_2557691,T1,1
ESPORTSTMNT02_2557691,Hanwha Life Esports,0
ESPORTSTMNT02_2557693,Hanwha Life Esports,0
ESPORTSTMNT02_2557693,T1,1
ESPORTSTMNT02_2557701,DRX,1
ESPORTSTMNT02_2557701,KT Rolster,0
ESPORTSTMNT02_2557739,KT Rolster,1
ESPORTSTMNT02_2557739,DRX,0
ESPORTSTMNT02_2557772,DRX,1
ESPORTSTMNT02_2557772,KT Rolster,0
ESPORTSTMNT02_2558150,Dplus KIA,1
ESPORTSTMNT02_2558150,Kwangdong Freecs,0
ESPORTSTMNT02_2558182,Kwangdong Freecs,0
ESPORTSTMNT02_2558182,Dplus KIA,1
ESPORTSTMNT02_2558191,BNK FEARX,1
ESPORTSTMNT02_2558191,Gen.G,0
ESPORTSTMNT02_2558212,BNK FEARX,0
ESPORTSTMNT02_2558212,Gen.G,1
ESPORTSTMNT02_2558221,BNK FEARX,0
