player,champion,games_played,winrate,avg_kills,avg_deaths,avg_assists,avg_dpm,avg_dmg_share,avg_vspm,avg_gold_share,total_games,pickrate,avg_kda
Hugato,Wukong,9,0.3333333333333333,2.5555555555555554,2.5555555555555554,4.888888888888889,236.4648222222222,0.11723928888888888,1.7281444444444445,0.17530133333333334,27,0.3333333333333333,2.91304347826087
Grell,Viego,9,0.3333333333333333,5.0,4.777777777777778,6.444444444444445,417.21882222222223,0.17865677777777778,1.4123,0.2166181111111111,42,0.21428571428571427,2.3953488372093026
Lucid,Vi,9,0.3333333333333333,2.0,2.7777777777777777,5.888888888888889,206.14123333333333,0.09311784444444443,1.6780444444444444,0.16243366666666667,42,0.21428571428571427,2.8400000000000003
Ssumday,Gnar,9,0.5555555555555556,1.6666666666666667,1.5555555555555556,4.222222222222222,432.7776222222222,0.24632422222222225,1.187611111111111,0.2372958888888889,123,0.07317073170731707,3.785714285714286
Quid,Azir,9,0.3333333333333333,2.6666666666666665,3.3333333333333335,5.888888888888889,676.6599111111111,0.3408894444444444,1.1677333333333335,0.24845855555555552,51,0.17647058823529413,2.5666666666666664
Solo,K'Sante,9,0.3333333333333333,2.111111111111111,3.2222222222222223,4.111111111111111,321.36249999999995,0.1690766777777778,0.9512111111111111,0.22957833333333333,51,0.17647058823529413,1.9310344827586203
Jun,Rell,9,0.3333333333333333,0.8888888888888888,4.555555555555555,8.88888888888889,135.9382222222222,0.06252507777777777,3.230777777777778,0.09127732222222222,74,0.12162162162162163,2.1463414634146343
Ellim,Viego,9,0.3333333333333333,3.6666666666666665,2.111111111111111,3.6666666666666665,239.3796555555556,0.1408542111111111,1.3696666666666666,0.17896977777777778,92,0.09782608695652174,3.4736842105263155
Bugi,Maokai,9,0.3333333333333333,0.8888888888888888,3.2222222222222223,5.888888888888889,453.22071111111114,0.22641922222222222,1.1218444444444444,0.16503888888888887,60,0.15,2.103448275862069
Hans SamD,Jhin,9,0.3333333333333333,3.888888888888889,1.4444444444444444,4.111111111111111,438.49798888888887,0.248888,1.1559111111111111,0.28834577777777776,71,0.1267605633802817,5.538461538461538
Photon,Gwen,9,0.3333333333333333,4.888888888888889,2.888888888888889,3.3333333333333335,697.2200444444445,0.29004144444444446,1.1201555555555556,0.2600177777777778,69,0.13043478260869565,2.8461538461538467
113,Sejuani,9,0.6666666666666666,2.0,3.0,7.333333333333333,315.31243333333333,0.1535897777777778,1.4184333333333334,0.1617088888888889,42,0.21428571428571427,3.1111111111111107
1Jiang,Jax,9,0.6666666666666666,4.0,1.8888888888888888,3.888888888888889,602.7812666666666,0.254941,1.2084444444444444,0.250839,44,0.20454545454545456,4.176470588235294
LIMIT,Rakan,9,0.3333333333333333,0.2222222222222222,3.3333333333333335,9.222222222222221,146.96316666666667,0.06499865555555556,3.572166666666667,0.08477174444444444,68,0.1323529411764706,2.8333333333333326
NOsFerus,Sylas,9,0.6666666666666666,5.222222222222222,1.8888888888888888,5.222222222222222,567.3557222222222,0.24628833333333333,0.7521444444444444,0.22932266666666667,65,0.13846153846153847,5.529411764705882
EMENES,LeBlanc,9,0.6666666666666666,3.4444444444444446,1.5555555555555556,5.111111111111111,696.7219,0.29358944444444446,1.422388888888889,0.2240138888888889,66,0.13636363636363635,5.5
APA,Tristana,9,0.6666666666666666,4.222222222222222,2.7777777777777777,4.888888888888889,574.7087777777778,0.21946077777777778,1.4663333333333333,0.27565422222222224,68,0.1323529411764706,3.28
Betty,Lucian,9,0.6666666666666666,5.111111111111111,1.8888888888888888,3.6666666666666665,727.9449555555556,0.3058871111111111,1.7679555555555555,0.26188422222222224,73,0.1232876712328767,4.647058823529411
NinjaKiwi,Aphelios,9,0.3333333333333333,3.6666666666666665,2.888888888888889,3.4444444444444446,475.2116111111111,0.27505444444444443,1.2625555555555554,0.27029533333333333,90,0.1,2.4615384615384612
Summit,K'Sante,9,0.3333333333333333,2.2222222222222223,2.4444444444444446,4.333333333333333,403.4940888888889,0.19757855555555556,1.1213333333333333,0.22687511111111108,90,0.1,2.6818181818181817
Bwipo,Renekton,9,0.7777777777777778,2.7777777777777777,3.6666666666666665,9.0,520.2283111111111,0.2101757777777778,1.1834666666666667,0.2379932222222222,106,0.08490566037735849,3.2121212121212124
