patch,level_1,ban_count,ban_rate,pick_count,pick_rate,ban_pick_count,ban_pick_rate,wins,games,win_rate
12.12,Gnar,74.0,31.49,130.0,55.32,204.0,86.81,72.0,130.0,0.5538461538461539
12.12,Gragas,12.0,5.11,26.0,11.06,38.0,16.17,13.0,26.0,0.5
12.12,Graves,1.0,0.43,1.0,0.43,2.0,0.85,1.0,1.0,1.0
12.12,Gwen,64.0,27.23,68.0,28.94,132.0,56.17,32.0,68.0,0.47058823529411764
12.12,Hecarim,1.0,0.43,3.0,1.28,4.0,1.7,2.0,3.0,0.6666666666666666
12.12,Irelia,17.0,7.23,7.0,2.98,24.0,10.21,3.0,7.0,0.42857142857142855
12.12,Jarvan IV,14.0,5.96,10.0,4.26,24.0,10.21,4.0,10.0,0.4
12.12,Jax,8.0,3.4,14.0,5.96,22.0,9.36,5.0,14.0,0.35714285714285715
12.12,Jayce,3.0,1.28,2.0,0.85,5.0,2.13,2.0,2.0,1.0
12.12,Jhin,1.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.12,Jinx,9.0,3.83,49.0,20.85,58.0,24.68,21.0,49.0,0.42857142857142855
12.12,Kai'Sa,6.0,2.55,5.0,2.13,11.0,4.68,2.0,5.0,0.4
12.12,Kalista,139.0,59.15,66.0,28.09,205.0,87.23,37.0,66.0,0.5606060606060606
12.12,Karma,6.0,2.55,7.0,2.98,13.0,5.53,3.0,7.0,0.42857142857142855
12.12,Karthus,2.0,0.85,2.0,0.85,4.0,1.7,1.0,2.0,0.5
12.12,Kayle,24.0,10.21,12.0,5.11,36.0,15.32,5.0,12.0,0.4166666666666667
12.12,Kha'Zix,1.0,0.43,2.0,0.85,3.0,1.28,2.0,2.0,1.0
12.12,Kindred,3.0,1.28,4.0,1.7,7.0,2.98,1.0,4.0,0.25
12.12,Kog'Maw,4.0,1.7,7.0,2.98,11.0,4.68,2.0,7.0,0.2857142857142857
12.12,LeBlanc,16.0,6.81,9.0,3.83,25.0,10.64,8.0,9.0,0.8888888888888888
12.12,Lee Sin,45.0,19.15,57.0,24.26,102.0,43.4,32.0,57.0,0.5614035087719298
