patch,league,side,result,total_games,win_rate
14.03,AL,Red,8,16.0,0.5
14.03,CBLOL,Blue,10,20.0,0.5
14.03,CBLOL,Red,10,20.0,0.5
14.03,CBLOLA,Blue,16,30.0,0.5333333333333333
14.03,CBLOLA,Red,14,30.0,0.4666666666666667
14.03,EBL,Blue,7,16.0,0.4375
14.03,EBL,Red,9,16.0,0.5625
14.03,ESLOL,Blue,11,16.0,0.6875
14.03,ESLOL,Red,5,16.0,0.3125
14.03,GLL,Blue,10,15.0,0.6666666666666666
14.03,GLL,Red,5,15.0,0.3333333333333333
14.03,HC,Blue,4,8.0,0.5
14.03,HC,Red,4,8.0,0.5
14.03,HM,Blue,11,20.0,0.55
14.03,HM,Red,9,20.0,0.45
14.03,LCK,Blue,30,48.0,0.625
14.03,LCK,Red,18,48.0,0.375
14.03,LCKC,Blue,22,46.0,0.4782608695652174
14.03,LCKC,Red,24,46.0,0.5217391304347826
14.03,LCO,Blue,16,32.0,0.5
14.03,LCO,Red,16,32.0,0.5
14.03,LCS,Blue,6,8.0,0.75
14.03,LCS,Red,2,8.0,0.25
14.03,LFL,Blue,11,20.0,0.55
14.03,LFL,Red,9,20.0,0.45
14.03,LFL2,Blue,11,15.0,0.7333333333333333
14.03,LFL2,Red,4,15.0,0.26666666666666666
14.03,LIT,Blue,10,16.0,0.625
14.03,LIT,Red,6,16.0,0.375
14.03,LJL,Blue,6,13.0,0.46153846153846156
14.03,LJL,Red,7,13.0,0.5384615384615384
14.03,LLA,Blue,10,24.0,0.4166666666666667
14.03,LLA,Red,14,24.0,0.5833333333333334
14.03,LPLOL,Blue,15,20.0,0.75
14.03,LPLOL,Red,5,20.0,0.25
14.03,LVP SL,Blue,8,19.0,0.42105263157894735
14.03,LVP SL,Red,11,19.0,0.5789473684210527
14.03,NACL,Blue,20,33.0,0.6060606060606061
